Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
PSMD2	4	-0.99982	-9.6814	0.0097135	0.45469	3.6189999999999996e-22	3.4637e-20	-0.84711	-8.5415	0.016453	0.52299	1.3249e-17	9.306100000000001e-16	-0.77467	-8.3912	0.017682	0.60525	4.8128999999999994e-17	4.1298e-15	-0.84759	-7.8164	0.011585	0.51782	5.437600000000001e-15	5.7405e-13
FAM98B	4	-0.68847	-8.047	0.046053	0.6637	8.487999999999999e-16	3.7621e-14	-0.56004	-6.6779	0.07893700000000001	0.73632	2.4231999999999998e-11	7.2399e-10	-0.34715	-4.3579	0.2396	0.8918200000000001	1.3133e-05	0.00013378	-0.60217	-6.7682	0.046754000000000004	0.7078399999999999	1.3039000000000002e-11	6.967000000000001e-10
LAMB1	4	0.27931999999999996	2.6947	0.020069999999999998	0.55416	0.0070447	0.025059	0.26478	2.5579	0.020047	0.55429	0.01053	0.036772000000000006	-0.028019	-0.27089	0.66827	0.98308	0.7864800000000001	0.87387	0.09193899999999999	0.8297200000000001	0.2069	0.86916	0.40669	0.6042
WDR24	4	-0.95355	-11.187000000000001	0.011872	0.46463000000000004	4.7213e-29	8.391899999999998e-27	-0.71959	-8.7492	0.032011000000000005	0.61007	2.1493e-18	1.6566000000000001e-16	-0.32038	-4.1654	0.28443	0.91596	3.1080999999999996e-05	0.00028481	-0.36759000000000003	-4.4558	0.20352	0.8680700000000001	8.358300000000001e-06	0.00012052
TAF1C	7	-0.77682	-11.952	0.028842000000000003	0.5981	6.310699999999999e-33	1.4656999999999999e-30	-0.71333	-11.07	0.033113	0.61233	1.7528e-28	3.8166000000000005e-26	-0.43918	-7.1263	0.13263	0.8206700000000001	1.0308e-12	4.6625e-11	-0.54459	-8.2815	0.066433	0.7361300000000001	1.216e-16	1.681e-14
BAP1	4	-0.62511	-6.3372	0.064964	0.71205	2.3393e-10	5.0306e-09	-0.44301999999999997	-4.6661	0.1594	0.8489	3.0689999999999998e-06	3.2677e-05	-0.055907000000000005	-0.64747	0.79852	0.9878100000000001	0.5173300000000001	0.67714	-0.10818	-1.1312	0.9665299999999999	0.99979	0.25795999999999997	0.45164
WDR7	4	0.24961999999999998	2.8566	0.029531	0.60487	0.004282500000000001	0.016584	0.1938	2.2115	0.048039	0.65205	0.026999000000000002	0.07779900000000001	0.76747	9.3459	0.0009415	0.39437	9.112700000000001e-21	1.3684e-18	0.13902	1.51	0.11974000000000001	0.81017	0.13105	0.2879
SUSD3	4	0.21463000000000002	2.4511	0.044584	0.66286	0.014243	0.045027	0.28799	3.3175	0.015443	0.51731	0.00090832	0.0047631	0.37128	4.3965	0.011528	0.55301	1.1002e-05	0.00011469	0.34417	3.8475	0.010724	0.51782	0.00011934	0.0011672
ZNF407	4	-0.69109	-8.4654	0.045582	0.6637	2.5538e-17	1.3858e-15	-0.58736	-7.2876	0.067352	0.70699	3.1543e-13	1.2459000000000001e-11	-0.62574	-7.9366	0.04161	0.69408	2.0783000000000003e-15	1.4481e-13	-0.48573999999999995	-5.8575	0.09655	0.77792	4.6985e-09	1.5589e-07
PSMB3	4	-0.8853	-9.4927	0.016338	0.50961	2.2518e-21	1.9911e-19	-1.1769	-12.107000000000001	0.0034216	0.35205	9.7334e-34	3.4600999999999996e-31	-1.0021	-11.057	0.0052701	0.48718	2.0341e-28	7.7026e-26	-0.9468200000000001	-9.4913	0.006889	0.49237	2.2806e-21	5.442e-19
GAR1	4	-0.65327	-5.962000000000001	0.055813	0.69443	2.4912e-09	4.5823e-08	-0.48441999999999996	-4.5889	0.12414000000000001	0.81147	4.4564e-06	4.5582e-05	-0.59126	-5.7892	0.051414999999999995	0.72151	7.074e-09	1.6219999999999998e-07	-0.33407	-3.0305	0.25315	0.88639	0.0024411999999999997	0.013789
SRP54	5	-1.1373	-12.993	0.005155300000000001	0.38874000000000003	1.3455e-38	4.8826e-36	-0.9496700000000001	-11.29	0.0096446	0.4375	1.4785999999999998e-29	3.6275999999999996e-27	-0.6590199999999999	-8.5419	0.034227	0.68087	1.3205999999999999e-17	1.2235999999999998e-15	-0.69513	-8.084	0.027304000000000002	0.63578	6.2686e-16	7.5828e-14
AADACL2	4	0.26158000000000003	2.8685	0.02534	0.58386	0.0041243	0.016068	-0.018254	-0.19389	0.51664	0.9664799999999999	0.84626	0.9089799999999999	-0.0061765	-0.068191	0.5721	0.9769	0.94563	0.9694	0.038206	0.38661	0.36622	0.9245200000000001	0.69905	0.83225
OSBPL8	4	-0.6604800000000001	-7.0961	0.053459000000000007	0.6862199999999999	1.2836e-12	4.0142e-11	-0.54665	-6.0119	0.085619	0.75354	1.8337e-09	4.0121e-08	-0.6109600000000001	-6.956	0.045456	0.69789	3.5008e-12	1.4019e-10	-0.5533	-5.6834	0.062644	0.7328399999999999	1.3206e-08	3.9684e-07
PCDH10	4	0.21106	2.0865	0.046478	0.66585	0.036931	0.096417	0.022668	0.21939	0.35654	0.92696	0.82634	0.898	-0.0022958	-0.023008	0.55433	0.97403	0.98164	0.98977	-0.072435	-0.64972	0.8619	0.9935	0.51588	0.6987
NLE1	5	-0.62244	-8.0991	0.065813	0.71205	5.5367e-16	2.565e-14	-0.84796	-10.703	0.016384	0.52299	9.894899999999999e-27	1.8336e-24	-0.60009	-8.1673	0.048579000000000004	0.7136399999999999	3.1527e-16	2.4299e-14	-0.61979	-7.6273	0.042046	0.69077	2.3966e-14	2.2812e-12
ZNHIT6	6	-0.68188	-8.0598	0.047557	0.67071	7.640900000000001e-16	3.4127999999999996e-14	-0.65885	-7.8543	0.044205	0.6409199999999999	4.0188000000000005e-15	2.0174e-13	-0.65514	-8.1886	0.034881	0.6844600000000001	2.6425e-16	2.0542e-14	-0.5464399999999999	-6.2144	0.06556100000000001	0.73482	5.1522e-10	2.1166e-08
RPP21	4	-0.94415	-11.273	0.012515	0.47289	1.7879999999999998e-29	3.4226e-27	-0.71997	-8.908	0.031954	0.61007	5.1981e-19	4.3117e-17	-0.67164	-8.6525	0.031586	0.6725300000000001	5.0380000000000005e-18	4.8485e-16	-0.55581	-6.6757	0.061841	0.73172	2.4605999999999998e-11	1.2352e-09
KPNB1	4	-1.5358	-13.681	0.0013319	0.33176	1.3162999999999999e-42	6.033899999999999e-40	-1.3637	-12.787	0.0017682000000000002	0.33846	1.927e-37	9.3241e-35	-1.0677	-11.339	0.0039612	0.48066000000000003	8.4536e-30	3.5915e-27	-1.1007	-10.031	0.0035593000000000005	0.47778000000000004	1.115e-23	3.2369999999999995e-21
SLC5A11	6	0.3002	4.2571	0.015477000000000001	0.50674	2.0711e-05	0.00016625	0.22866	3.2310000000000003	0.030725	0.60447	0.0012335999999999998	0.0061446999999999995	0.44223999999999997	6.4725	0.006246100000000001	0.49156000000000005	9.6407e-11	3.0588000000000002e-09	0.017189	0.22894	0.44668	0.94299	0.81891	0.90459
MAX	6	-0.98895	-14.796	0.010047	0.45821000000000006	1.5644e-49	1.0480999999999999e-46	-0.7949	-12.162	0.021551	0.56172	4.963500000000001e-34	1.8795999999999998e-31	-0.6252300000000001	-9.932	0.041816000000000006	0.69408	3.0217e-23	5.9813000000000005e-21	-0.58636	-8.8229	0.05083	0.70926	1.1153e-18	1.9427e-16
EXOSC10	4	-0.8809	-11.290999999999999	0.016821	0.51349	1.4569e-29	2.8198e-27	-0.8348	-10.780999999999999	0.017544	0.53196	4.2113e-27	8.0612e-25	-0.5394100000000001	-7.3055	0.071474	0.75956	2.7626e-13	1.3749e-11	-0.53014	-6.7962	0.07315	0.74484	1.0739000000000001e-11	5.8824e-10
ATG2A	4	0.9793	7.9763	0.00016074	0.25	1.5084000000000002e-15	6.5852e-14	0.95232	7.7568	0.00013778	0.23571	8.7131e-15	4.1696e-13	0.24875	1.932	0.040576	0.69408	0.053359000000000004	0.13451	0.4167	2.9823	0.0054538	0.48318	0.0028613	0.0156
FAM96B	4	-1.0696	-9.6815	0.0071072	0.42148	3.6133999999999995e-22	3.4637e-20	-1.2231	-10.764000000000001	0.0028589	0.34094	5.1121e-27	9.679200000000002e-25	-1.0533	-10.193	0.0042482	0.48066000000000003	2.1257999999999997e-24	4.7474e-22	-0.89333	-7.7764	0.0090591	0.51782	7.4628e-15	7.6468e-13
POLR2D	5	-0.9535	-10.472999999999999	0.011872	0.46463000000000004	1.1447e-25	1.4992000000000002e-23	-0.8074600000000001	-9.1781	0.020311000000000003	0.55788	4.3861e-20	4.152300000000001e-18	-0.9277799999999999	-10.888	0.0079224	0.5	1.3116e-27	4.3936e-25	-1.0809	-10.61	0.0038004	0.47778000000000004	2.6669999999999997e-26	9.6784e-24
VPS28	4	-0.7432	-9.2392	0.034686	0.63146	2.4839000000000002e-20	1.9847e-18	-0.75076	-9.3536	0.027349000000000002	0.59307	8.4735e-21	8.5318e-19	-0.48439	-6.349	0.10004	0.80295	2.1674000000000002e-10	6.431600000000001e-09	-0.40953	-5.0824	0.1558	0.8338399999999999	3.7277e-07	7.8897e-06
PITPNM2	4	0.20653000000000002	2.2944	0.049083999999999996	0.6746300000000001	0.021769999999999998	0.06339199999999999	0.076833	0.84362	0.20310999999999998	0.87349	0.39888	0.57177	-0.018649000000000002	-0.20947	0.62598	0.97834	0.8340799999999999	0.9030299999999999	0.022597	0.23434000000000002	0.42475	0.9378	0.81472	0.90225
IL17REL	4	-0.8595799999999999	-10.176	0.018796	0.5411600000000001	2.5263e-24	2.9535000000000003e-22	-0.90469	-10.687999999999999	0.012331	0.47002	1.1632e-26	2.1329e-24	-0.61648	-7.739	0.044055000000000004	0.69408	1.0018000000000001e-14	6.2998e-13	-1.2389	-13.253	0.0019634	0.45169	4.345399999999999e-40	5.0461999999999996e-37
EIF3A	4	-0.9586899999999999	-8.9797	0.011597	0.46347	2.7149000000000003e-19	1.9787e-17	-0.9257299999999999	-8.7804	0.010896	0.45083	1.6286999999999999e-18	1.2722e-16	-0.9018200000000001	-9.087	0.0088983	0.52189	1.0178999999999999e-19	1.2755999999999997e-17	-0.85021	-7.5423	0.01139	0.51782	4.6189e-14	3.983e-12
WDR75	4	-0.7056100000000001	-6.0433	0.042425	0.6575	1.5102000000000002e-09	2.9036e-08	-0.5907899999999999	-5.2153	0.066135	0.7038300000000001	1.8355e-07	2.6488999999999997e-06	-0.4471	-4.2756	0.12566	0.81443	1.9062e-05	0.00018509	-0.51477	-4.2509	0.080498	0.7561399999999999	2.1286999999999998e-05	0.00026844
RSRC2	4	-0.65508	-6.736000000000001	0.055273	0.69443	1.6284000000000003e-11	4.2717999999999997e-10	-0.42117	-4.4955	0.18263	0.86665	6.9402e-06	6.7765e-05	-0.71742	-7.6615	0.024444999999999998	0.64742	1.8372999999999998e-14	1.0998e-12	-0.6866899999999999	-6.6136	0.028544	0.63795	3.7520000000000003e-11	1.8358e-09
CDC20	4	-0.79362	-7.0434	0.026511	0.59004	1.8765e-12	5.6068e-11	-0.91911	-8.0024	0.011424	0.46143	1.2199000000000002e-15	6.6451e-14	-0.5692699999999999	-5.5288	0.059383000000000005	0.7328600000000001	3.2247e-08	6.2551e-07	-0.6650699999999999	-5.6462	0.032310000000000005	0.64761	1.6399999999999998e-08	4.850199999999999e-07
JPH2	4	0.37479	4.3933	0.0066824	0.41423000000000004	1.1163e-05	9.612e-05	0.18450999999999998	2.1347	0.054274	0.67106	0.032785	0.090661	0.3236	3.8659	0.018428	0.60525	0.00011068	0.00084481	0.21691999999999997	2.4286	0.04626	0.7078399999999999	0.015158000000000001	0.058803999999999995
HYOU1	4	-0.6181800000000001	-5.9252	0.067294	0.71687	3.1195000000000002e-09	5.6193e-08	-0.49742	-4.8958	0.11485999999999999	0.80064	9.7906e-07	1.1942999999999999e-05	-0.44852	-4.6577	0.12459	0.81272	3.1973000000000003e-06	3.9056e-05	-0.37566	-3.5273	0.19315	0.8650399999999999	0.00041975	0.0033189
RNF167	4	-0.6492600000000001	-5.9739	0.05701799999999999	0.69644	2.3162e-09	4.2922000000000005e-08	-0.59915	-5.5968	0.06348200000000001	0.7003199999999999	2.1828e-08	3.7834000000000004e-07	-0.7360300000000001	-7.0826	0.022045	0.63158	1.4151e-12	6.193199999999999e-11	-0.56445	-4.9058	0.058373	0.72082	9.304600000000001e-07	1.787e-05
ICK	4	-0.78714	-8.1604	0.027235000000000002	0.5937399999999999	3.3389000000000004e-16	1.5978e-14	-0.61273	-6.5309	0.05814299999999999	0.68181	6.5377e-11	1.825e-09	-0.4573	-5.1198	0.11756	0.80872	3.0588e-07	4.8481e-06	-0.49418999999999996	-5.0802	0.09110700000000001	0.7719	3.7695e-07	7.9686e-06
WDR41	4	0.23518000000000003	2.7605	0.035019	0.63146	0.0057717	0.021269	0.15497	1.8077	0.07901699999999999	0.73632	0.07066	0.16417	0.18520999999999999	2.2387	0.082473	0.78013	0.025178	0.07533200000000001	0.3325	3.7808	0.011998	0.51782	0.00015634	0.0014525
EEF2	4	-1.2006	-11.267999999999999	0.0041908	0.38364000000000004	1.8779e-29	3.5173e-27	-1.2835	-11.884	0.0023881999999999996	0.34094	1.4321999999999998e-32	4.5359e-30	-0.6702199999999999	-7.4304	0.031896	0.67427	1.0827e-13	5.857e-12	-0.77487	-7.4059	0.017223	0.5636	1.3024e-13	1.0552000000000001e-11
WARS	4	-1.0953	-10.665	0.006268999999999999	0.41313999999999995	1.4766e-26	2.0253e-24	-1.0003	-9.9492	0.007635300000000001	0.41491000000000006	2.5428000000000002e-23	3.5153e-21	-0.78166	-8.3559	0.016936	0.60285	6.4922e-17	5.4109e-15	-0.83478	-7.9968	0.012297	0.51981	1.2774e-15	1.4736e-13
MIOS	4	-0.70957	-7.0884	0.04169	0.65637	1.3569e-12	4.2206000000000007e-11	-0.6903199999999999	-6.9491	0.037327	0.62061	3.6773e-12	1.2659e-10	-0.26086	-2.8783	0.41141000000000005	0.9471799999999999	0.0039988	0.017424000000000002	-0.32945	-3.3080000000000003	0.26136	0.88935	0.0009394999999999999	0.0064354
CABP7	4	0.3872	4.4421	0.0058671999999999995	0.40155	8.9093e-06	7.8578e-05	0.38973	4.4863	0.0052586	0.38167	7.2458e-06	7.047100000000001e-05	0.12789	1.4785	0.15777	0.8406799999999999	0.13927	0.27574	0.24950999999999998	2.6781	0.031047	0.6467	0.0074045000000000005	0.033562
KIF13A	4	-0.67285	-8.5878	0.050198	0.67935	8.8626e-18	5.078199999999999e-16	-0.69184	-8.834	0.037097000000000005	0.61897	1.01e-18	8.1072e-17	-0.5642699999999999	-7.3442	0.061358	0.73614	2.0706e-13	1.0515000000000002e-11	-0.5098199999999999	-6.4374	0.082829	0.76051	1.2153000000000002e-10	5.4984999999999996e-09
FARSB	4	-1.5928	-15.770999999999999	0.0010334	0.33176	4.9151e-56	5.0362e-53	-1.2988	-13.707	0.0021815000000000003	0.34094	9.243899999999999e-43	6.4408e-40	-1.2183	-13.671	0.0020552	0.43556000000000006	1.5123e-42	1.7560999999999997e-39	-1.1557	-11.658	0.0029164	0.47368000000000005	2.0893e-31	1.4558e-28
ASIC1	6	-0.70004	-10.667	0.043608	0.65972	1.4466e-26	1.9998e-24	-0.7914	-11.969000000000001	0.021884	0.56391	5.1729999999999995e-33	1.7668e-30	-0.42912	-6.9269	0.14125	0.82981	4.3017e-12	1.6914e-10	-0.42178000000000004	-6.3738	0.14364000000000002	0.8280200000000001	1.844e-10	8.1111e-09
GFM1	4	-0.60763	-6.5945	0.071129	0.72077	4.2681000000000004e-11	1.0408e-09	-0.63636	-6.9042	0.050623	0.65494	5.0488e-12	1.7011000000000002e-10	0.15381	1.9380000000000002	0.11888	0.80872	0.052624000000000004	0.13316	0.11043	1.2775	0.1682	0.8410299999999999	0.20144	0.38306
SRM	5	-0.8661399999999999	-9.6265	0.018084	0.5322100000000001	6.182e-22	5.8208e-20	-0.64346	-7.4843	0.048326999999999995	0.65205	7.1957e-14	3.1025e-12	0.17164000000000001	2.2873	0.096733	0.80285	0.022180000000000002	0.068346	0.09348300000000001	1.149	0.20348	0.8680700000000001	0.25054	0.44298000000000004
MB21D2	6	0.20137	2.8377	0.052471000000000004	0.6851	0.0045433999999999995	0.017401	0.034143	0.47376	0.31831	0.9148	0.63567	0.76575	0.33796	4.962	0.015753	0.5859300000000001	6.9786e-07	1.0122e-05	-0.18625999999999998	-2.3722	0.63536	0.97559	0.017682	0.066366
NUP93	7	-0.70786	-9.147	0.041977	0.65637	5.8525e-20	4.4323e-18	-0.6963	-9.0613	0.036397000000000006	0.61829	1.2887e-19	1.1752999999999999e-17	-0.6692899999999999	-9.1844	0.032137	0.67479	4.1375e-20	5.5869e-18	-0.74129	-8.854	0.020621	0.5908800000000001	8.442100000000001e-19	1.5044999999999998e-16
THOC7	4	-0.74068	-7.0541	0.035111	0.63146	1.7378e-12	5.2826999999999994e-11	-0.65832	-6.3825	0.044308	0.6409199999999999	1.7426e-10	4.4703e-09	-0.86041	-8.467	0.01108	0.5526800000000001	2.5176e-17	2.2261e-15	-0.76557	-6.7935	0.017991999999999998	0.56679	1.0947000000000002e-11	5.9401e-10
EXOSC5	4	-0.87677	-9.9164	0.017096	0.51882	3.5316999999999995e-23	3.5976e-21	-0.93966	-10.571	0.010184	0.44158000000000003	4.0817e-26	7.109899999999999e-24	-0.8285399999999999	-9.8506	0.013112	0.56295	6.814799999999999e-23	1.2763999999999998e-20	-0.83388	-8.9675	0.012412000000000001	0.51981	3.0321e-19	5.9344e-17
YARS	6	-0.75253	-9.7957	0.033020999999999995	0.6229399999999999	1.1743000000000001e-22	1.1622e-20	-0.54486	-7.365	0.086538	0.75354	1.7711e-13	7.1250000000000004e-12	-0.39188	-5.6142	0.17944000000000002	0.8572799999999999	1.9743999999999998e-08	4.0556999999999995e-07	-0.41766000000000003	-5.4233	0.14794000000000002	0.8295899999999999	5.8508e-08	1.4834999999999999e-06
FAM18A	4	0.23795999999999998	2.7164	0.033882999999999996	0.62961	0.0065987	0.023734	0.038411	0.42891999999999997	0.30417	0.9098200000000001	0.66798	0.78992	-0.0095444	-0.10999	0.58608	0.9769	0.9124200000000001	0.95136	0.031646	0.33345	0.38881	0.92824	0.73879	0.8582200000000001
DEFB124	4	0.29034	3.2583	0.017440999999999998	0.5252600000000001	0.0011209000000000002	0.005372699999999999	0.3592	4.0686	0.0070153	0.41491000000000006	4.73e-05	0.00037264	-0.089103	-0.99464	0.95175	0.9984700000000001	0.31990999999999997	0.49401999999999996	0.18170999999999998	1.9317	0.071577	0.74484	0.053402	0.15083
CSN3	4	0.20463	2.2346	0.050255	0.67935	0.025442	0.07192	0.13004000000000002	1.4151	0.1083	0.7903600000000001	0.15704	0.29825	0.16773	1.8659999999999999	0.10135	0.80295	0.062048	0.15050999999999998	0.096963	1.0174	0.1958	0.86526	0.30896999999999997	0.50662
ATP5B	4	-1.0292	-10.918	0.0084965	0.44298999999999994	9.4241e-28	1.506e-25	-0.8416799999999999	-9.2299	0.016958	0.52893	2.7088e-20	2.5925999999999996e-18	-0.4427	-5.2618	0.12954000000000002	0.81724	1.4261e-07	2.4355000000000002e-06	-0.36895	-4.1008	0.20195	0.86767	4.1167e-05	0.00047521
EIF5B	4	-0.7094	-7.4639	0.041713	0.65637	8.4017e-14	3.0681e-12	-0.78659	-8.2067	0.022527000000000002	0.5687399999999999	2.2729e-16	1.3197e-14	-0.5714	-6.4257	0.058476	0.7290399999999999	1.3128e-10	4.0475e-09	-0.7482	-7.3233	0.019794	0.58316	2.4196e-13	1.8899999999999997e-11
GHR	4	-0.69584	-6.1044	0.044629	0.66286	1.0315999999999998e-09	2.0282e-08	-0.72693	-6.374	0.030897000000000004	0.60447	1.8411e-10	4.7024e-09	-0.55582	-5.1265	0.06450399999999999	0.74464	2.9510000000000004e-07	4.703e-06	-0.66893	-5.6054	0.031620999999999996	0.6472399999999999	2.0772e-08	5.9413e-07
FOXRED1	4	0.25699	3.0069	0.027131	0.59297	0.002639	0.011073999999999999	0.24178000000000002	2.8332	0.025960000000000004	0.58781	0.004607899999999999	0.018481	0.19804000000000002	2.3895	0.07142799999999999	0.75956	0.01687	0.055048	0.01996	0.213	0.43503000000000003	0.9414799999999999	0.8313299999999999	0.9117200000000001
IMP4	4	-0.84073	-9.2073	0.020759	0.5563100000000001	3.3431e-20	2.5997e-18	-0.7733800000000001	-8.6149	0.023974000000000002	0.5760000000000001	7.0013e-18	5.060399999999999e-16	-0.39249	-4.8067	0.17870999999999998	0.8572799999999999	1.5341999999999999e-06	2.051e-05	-0.56462	-6.0988	0.058327	0.72082	1.0689000000000001e-09	4.1101e-08
TRIM41	4	0.46607	5.8058	0.0029738000000000004	0.38364000000000004	6.4057e-09	1.0982000000000001e-07	0.44708000000000003	5.5728	0.0033527	0.35205	2.5067e-08	4.2891999999999995e-07	0.37311	4.7259	0.011378000000000001	0.55301	2.2905e-06	2.9209e-05	0.49468	5.989	0.0029048999999999998	0.47368000000000005	2.1115e-09	7.5368e-08
NRF1	4	-0.7775	-7.3618	0.028762	0.5976199999999999	1.8139e-13	6.3829e-12	-0.51368	-5.1656	0.1043	0.7830199999999999	2.3968000000000004e-07	3.3616e-06	-0.30846999999999997	-3.3652	0.30601999999999996	0.92232	0.00076485	0.0044028	-0.22726999999999997	-2.2457	0.49662	0.9505100000000001	0.02472	0.0852
SRMS	4	0.26984	3.2411	0.022744999999999998	0.56567	0.0011905	0.0056597999999999996	0.30461	3.6813	0.01286	0.47846000000000005	0.00023203	0.0014964	0.20314000000000002	2.4996	0.067386	0.75125	0.012434	0.043316	0.16230999999999998	1.8477	0.089994	0.76956	0.06464	0.17379
TRAPPC11	4	-0.9971	-10.955	0.009828299999999998	0.45503000000000005	6.253999999999999e-28	1.0181e-25	-0.86188	-9.6625	0.015443	0.51731	4.3522e-22	5.4936e-20	-0.7651899999999999	-8.9357	0.018509	0.60525	4.0463e-19	4.637e-17	-0.68594	-7.4989	0.028647000000000002	0.6381100000000001	6.4339e-14	5.4404e-12
CEACAM4	4	0.23199	2.7465	0.036386	0.63253	0.0060226	0.021979	0.043765	0.5091	0.2887	0.90684	0.61068	0.74859	0.25408000000000003	3.1059	0.03797	0.69408	0.0018969000000000002	0.0094137	0.1968	2.2267	0.0592	0.72263	0.025965	0.088165
SFSWAP	4	-0.77912	-9.0576	0.028532	0.5959300000000001	1.3332e-19	9.882e-18	-0.72168	-8.455	0.031701	0.61007	2.7899999999999995e-17	1.8837e-15	-0.74608	-8.9335	0.020724	0.61921	4.1284e-19	4.7001999999999997e-17	-0.82681	-9.2002	0.012871	0.52261	3.5718e-20	7.496e-18
C2	8	0.23464000000000002	4.2326	0.035295	0.63146	2.3098e-05	0.00018386	0.13351	2.3962	0.10392	0.7830199999999999	0.016567	0.052565	0.077028	1.4042	0.27291	0.91205	0.16027	0.30491999999999997	0.05946	1.0269	0.29591	0.90741	0.30448000000000003	0.5020600000000001
PSMG3	4	-1.0033	-7.3345	0.0095872	0.4538	2.2253e-13	7.7217e-12	-0.81701	-6.3309	0.019312	0.54797	2.4377e-10	6.1185e-09	-0.31311	-2.8861	0.29723	0.91915	0.0039003	0.017109	-0.39384	-3.0889	0.17195	0.84536	0.0020089	0.011806
PTPMT1	7	-0.84636	-10.284	0.020231	0.55416	8.312100000000002e-25	1.0196e-22	-0.9174200000000001	-11.052	0.011539	0.46298999999999996	2.1529e-28	4.5732999999999996e-26	-0.27076	-3.7681	0.38734	0.9452200000000001	0.00016453	0.0011813	-0.10812999999999999	-1.4063	0.9667	0.99979	0.15964	0.32855999999999996
CHCHD7	5	-0.63966	-9.5134	0.060049	0.70343	1.8457e-21	1.6572e-19	-0.46291000000000004	-6.9893	0.14119	0.8350700000000001	2.7631e-12	9.8227e-11	-0.34176999999999996	-5.2925	0.24752	0.89948	1.2069e-07	2.0939e-06	-0.29501	-4.386	0.32561	0.91517	1.1547e-05	0.00015989
ZNF613	5	0.25426	2.7664	0.027992000000000003	0.5959300000000001	0.0056685	0.020938	0.068815	0.73144	0.22178	0.88387	0.46451000000000003	0.63342	0.25789	2.9288	0.036569	0.69089	0.0034024999999999997	0.015224000000000001	0.2076	2.1228	0.051863	0.71022	0.033768	0.10689000000000001
MYL7	4	-0.83945	-8.2934	0.020954	0.55929	1.1005000000000001e-16	5.5566000000000004e-15	-0.9121	-8.9567	0.011918000000000002	0.46548999999999996	3.3446999999999994e-19	2.8421e-17	-0.59154	-6.2211	0.051335000000000006	0.72113	4.9367e-10	1.3629e-08	-0.48632	-4.8072	0.096194	0.77746	1.5307e-06	2.7545e-05
SRRM1	4	-0.6099899999999999	-5.6411	0.07029099999999999	0.72035	1.6898e-08	2.6905e-07	-0.7548600000000001	-6.8158	0.026545999999999997	0.5906600000000001	9.3712e-12	2.9952e-10	-0.43521000000000004	-4.3777	0.13601	0.8250700000000001	1.1995999999999998e-05	0.00012408	-0.66283	-5.609	0.032643	0.64761	2.0353e-08	5.8405e-07
WEE1	5	-1.0089	-10.515	0.009415	0.45096	7.3315e-26	9.6748e-24	-1.0006	-10.487	0.007612399999999999	0.41491000000000006	9.873899999999999e-26	1.6862000000000002e-23	-0.48801000000000005	-5.6311	0.097686	0.80295	1.7903e-08	3.7436e-07	-0.5949399999999999	-6.2633	0.048533	0.70926	3.7689999999999996e-10	1.582e-08
RCC1	4	-0.7495	-9.6361	0.03363	0.62961	5.6308000000000005e-22	5.3306e-20	-0.60521	-7.9149	0.061198	0.6913100000000001	2.4752e-15	1.2794e-13	-0.56379	-7.5796	0.061564999999999995	0.73614	3.4667e-14	2.0264e-12	-0.40435	-5.1965	0.16084	0.8340799999999999	2.0313e-07	4.5595999999999995e-06
TRIB1	4	0.32051	3.4152	0.012217	0.46463000000000004	0.00063738	0.0032955	0.089121	0.92184	0.17548	0.85956	0.35661	0.5301100000000001	0.034356	0.36812	0.40806	0.9471799999999999	0.71278	0.8227899999999999	0.020714	0.19812000000000002	0.43233	0.94126	0.84295	0.91869
TSEN34	4	-1.1067	-9.3108	0.0059131	0.40155	1.2684e-20	1.0325e-18	-0.96836	-8.4098	0.008760500000000001	0.42363	4.1063999999999997e-17	2.669e-15	-0.79638	-7.4492	0.015684	0.58501	9.3921e-14	5.0966e-12	-0.8716799999999999	-7.162000000000001	0.010138	0.51782	7.9502e-13	5.5258e-11
ARID1A	4	-0.73969	-7.9775	0.03526	0.63146	1.4932e-15	6.5351e-14	-0.93069	-9.9409	0.01054	0.44903000000000004	2.7618999999999996e-23	3.7881e-21	-0.6821	-7.4915	0.029531	0.66197	6.810700000000001e-14	3.8024e-12	-0.7106600000000001	-7.5118	0.024743	0.61805	5.8312e-14	4.9791e-12
PSMD1	4	-0.8368899999999999	-8.682	0.021276	0.55929	3.889e-18	2.3853e-16	-0.78514	-8.2613	0.022757	0.5695399999999999	1.4411000000000001e-16	8.6858e-15	-0.5151	-5.8883	0.082301	0.78013	3.9026e-09	9.337799999999999e-08	-0.35829	-3.8028	0.21656999999999998	0.87197	0.00014305	0.0013469
ASPDH	5	-0.65067	-7.5054	0.056536	0.69644	6.1223e-14	2.2739e-12	-0.5803	-6.8019	0.069924	0.71281	1.0321e-11	3.2868e-10	-0.46542	-5.7827	0.11188	0.80696	7.3497e-09	1.6757e-07	-0.71133	-7.5892	0.024674	0.61805	3.2179000000000005e-14	2.9816e-12
